id,school,location,role,rating,submittedDate,salary,monthlyTakeHome,monthlySavings,taxRate,housing,airfare,childrenTuition,healthInsurance,retirementPlan,education,experience,yearsAtSchool,curricula,workload,contractLength,schoolStructure,facultySize,extracurriculars,url
"1072","🇦🇪 International School of Choueifat Khalifa City","Abu Dhabi, United Arab Emirates","High School Teacher","","","","$3,500","71% - 80% savings","0%","Not provided","Round trip, can only be booked by school cannot request monetary value","Partial tuition is provided for teacher's children","Provided","No","Bachelors","9-10 years","10","American","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","More than 4 hours per week","https://www.internationalteachersalary.com/schools/1072"
"1073","🇲🇾 The International School of Kuala Lumpur","Kuala Lumpur, Malaysia","Elementary Homeroom Teacher","","","","","","","$1,000","Annual round trip to home of record","Free tuition is provided for two children per teacher","Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1073"
"1074","🇪🇪 International School of Tallinn","Tallinn, Estonia","Elementary Homeroom Teacher","","","","$2,100","Less than 20% savings","22%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","Yes","Masters","16+ years","3","International Baccalaureate","Moderate (20-25 hours per week)","1 year","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1074"
"1075","🇯🇵 Rugby school Japan","Kashiwanoha, Japan","High School Coordinator/Lead","","","","","","","Not provided","Annual flight","Partial tuition is provided for teacher's children","Not Provided","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1075"
"1076","🇬🇼 Tha American International School of Conakry","Conakry, Guinea-Bissau","Middle School Teacher","","","","$3,300","Less than 20% savings","0%","Not provided","Flight at the beginning and end of contract / no dependant airfare","Free tuition is provided for two children per teacher","Provided","No","Bachelors","6-8 years","2","American","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Small (<20 teachers)","None","https://www.internationalteachersalary.com/schools/1076"
"1077","🇲🇾 Invictus International School","Johor Bahru, Malaysia","Elementary Homeroom Teacher","","","","$2,600","41% - 50% savings","15%","$330","Yearly round trip provided. Not for dependents","Free tuition is provided for two children per teacher","Provided","No","Masters","3-5 years","2","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1077"
"1078","🇸🇬 North London Collegiate School (Singapore)","Singapore, Singapore","High School Teacher","","","","","","","$2,600","Round trip reimbursed every year completed","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1078"
"1079","🇸🇪 Stockholm International School","Stockholm, Sweden","Middle School Teacher","","","","$3,034","Less than 20% savings","22%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Not Provided","No","Masters","9-10 years","5","International Baccalaureate","Heavy (More than 30 hours per week)","More than 5 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1079"
"1080","🇪🇬 Modern English School Cairo","Cairo, Egypt","High School Teacher","","","","$5,000","41% - 50% savings","0%","$150","Round-trip automatically calculated to home of record and put in May's paycheck","Free tuition is provided for one child per teacher","Employee Pays Percentage","No","Masters","11-15 years","3","American","Heavy (More than 30 hours per week)","2 years","For-Profit (Family-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1080"
"1081","🇵🇭 Brent International School Manila","Manila, Philippines","Middle School Teacher","","","","$3,000","21% - 30% savings","0%","Not provided","Yearly round-trip","Free tuition is provided for one child per teacher","Provided","No","Masters","11-15 years","2","American","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1081"
"1082","🇹🇭 International Christian School Nonthaburi","Nonthaburi, Thailand","High School Teacher","","","","$2,208","Less than 20% savings","0%","$300","Stipend upon end of contract - $1600","Free tuition is provided for three children per teacher","Provided","Yes","Bachelors","3-5 years","4","American","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1082"
"1083","🇮🇩 Global Prestasi School","Bekasi, Indonesia","High School Specialist Teacher","","","","$700","61% - 70% savings","15%","Not provided","Not provided","Partial tuition is provided for teacher's children","Employee Pays Percentage","No","Masters","9-10 years","2","British","Heavy (More than 30 hours per week)","1 year","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1083"
"1084","🇱🇧 American Community School Beirut","Beirut, Lebanon","High School Teacher","","","","","","","Not provided","Round trip fare","Free tuition is provided for three children per teacher","Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1084"
"1085","🇨🇳 Dulwich College Shanghai Pudong","Shanghai, China","Early Childhood Teacher","","","","$5,000","21% - 30% savings","5%","$2,250","1500","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","2","British","Heavy (More than 30 hours per week)","3 years","For-Profit (Family-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1085"
"1086","🇰🇬 Bishkek International School","Bishkek, Kyrgyzstan","High School Specialist Teacher","","","","$1,800","31% - 40% savings","0%","$700","Annual travel allowance of around $1000","Partial tuition is provided for teacher's children","Provided","No","Masters","1-2 years","2","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1086"
"1087","🇨🇳 Boston international school WuXi","Wuxi, China","High School Teacher","","","","","","","$550","RT after receipts; total stated in contract depending upon home airport","Free tuition is provided for three children per teacher","Provided","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1087"
"1088","🇦🇹 International School Carinthia","Velden am Worthersee, Austria","High School Teacher","","","","$2,500","Less than 20% savings","45%","Not provided","Not provided","Free tuition is provided for two children per teacher","Employee Pays Percentage","Yes","Masters","9-10 years","3","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1088"
"1089","🇺🇸 British International School of Houston","Houston, United States of America","High School Teacher","","","","$4,400","Less than 20% savings","8%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","9-10 years","3","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1089"
"1090","🇪🇹 Sandford International School","Addis Ababa, Ethiopia","High School Coordinator/Lead","","","","$3,600","21% - 30% savings","0%","Not provided","Round trip","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","2","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1090"
"1091","🇹🇭 Shrewsbury International School Riverside","Bangkok, Thailand","Elementary Homeroom Teacher","","","","$3,158","31% - 40% savings","25%","Not provided","Beginning and end of two year contract","Free tuition is provided for two children per teacher","Provided","No","Masters","6-8 years","3","British","Busy (26-30 hours per week)","2 years","For-Profit (Family-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1091"
"1092","🇨🇳 International Montessori School of Beijing (MSB)","Beijing, China","Middle School Teacher","","","","$4,969","51% - 60% savings","20%","$1,380","Not provided","Free tuition is provided for one child per teacher","Provided","No","Bachelors","3-5 years","1","American","Light (Less than 20 hours per week)","2 years","For-Profit (Family-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1092"
"1093","🇸🇦 British International School of Al Khobar","Khobar, Saudi Arabia","Elementary Homeroom Teacher","","","","$4,300","61% - 70% savings","0%","Not provided","1732 USD flight allowance per year. Start of contract flight provided + generous baggage allowance for start/end of contract.","Free tuition is provided for two children per teacher","Provided","No","Masters","9-10 years","3","British","Moderate (20-25 hours per week)","3 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1093"
"1094","🇰🇷 Dulwich College Seoul","Seoul, South Korea","High School Teacher","","","","$3,400","31% - 40% savings","19%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","9-10 years","","International Baccalaureate","Moderate (20-25 hours per week)","3 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1094"
"1095","🇱🇻 International School of Riga","Riga, Latvia","Elementary Homeroom Teacher","","","","","","","Not provided","Not provided","Partial tuition is provided for teacher's children","Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1095"
"1096","🇸🇬 Dover Court International School","Singapore, Singapore","Elementary Homeroom Teacher","","","","$8,000","Less than 20% savings","10%","$2,300","Not provided","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","5","British","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1096"
"1097","🇵🇰 International School of Islamabad","islamabad, Pakistan","Middle School Teacher","","","","$4,000","41% - 50% savings","0%","Not provided","every year","Free tuition is provided for two children per teacher","Provided","Yes","Masters","16+ years","8","American","Heavy (More than 30 hours per week)","1 year","Non-Profit (Government/DoD)","Medium (20-50 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1097"
"1098","🇰🇷 Branksome Hall Asia","Jeju, South Korea","Elementary Coordinator/Lead","","","","$5,916","51% - 60% savings","15%","Not provided","Annual free flights for me and my kid if we use the school agent to get them. If I book myself my kid is only reimbursed up to 80% of my limited budget.","Free tuition is provided for three children per teacher","Provided","Yes","Masters","11-15 years","2","International Baccalaureate","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1098"
"1099","🇲🇹 Verdala International School","Pembroke, Malta","High School Teacher","","","","","","","Not provided","The school's airfare allowance includes one flight per contract year, covering both the initial flight to Malta and subsequent annual flights. This allowance applies to the employee and their dependents.","Free tuition is provided for one child per teacher","Provided","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1099"
"1100","🇨🇳 Utahloy international school Zengcheng","Guangzhou, China","Athletic Director","","","","$3,500","41% - 50% savings","20%","Not provided","Various values depending on place of origin. For me and spouse is 12000 RMB and 9000 per child","Free tuition is provided for one child per teacher","Provided","Yes","Bachelors","16+ years","3","International Baccalaureate","Light (Less than 20 hours per week)","3 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1100"
"1101","🇸🇦 National Industrial Training Institute","Alhufuf, Saudi Arabia","Elementary Specialist Teacher","","","","$2,665","51% - 60% savings","0%","Not provided","Not provided","Partial tuition is provided for teacher's children","Provided","Yes","Masters","6-8 years","5","American","Moderate (20-25 hours per week)","1 year","Non-Profit (Government/DoD)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1101"
"1102","🇹🇷 Bilkent Laboratory and International School","Ankara, Turkey","Elementary Homeroom Teacher","","","","$2,500","41% - 50% savings","0%","Not provided","Not provided","Free tuition is provided for two children per teacher","Employee Pays Percentage","Yes","Bachelors","3-5 years","1","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1102"
"1103","🇹🇭 ISC Pattaya","Pattaya, Thailand","Elementary Homeroom Teacher","","","","$2,000","Less than 20% savings","7%","Not provided","Some allowance towards initial flight.","Free tuition is provided for one child per teacher","Provided","No","Bachelors","16+ years","1","British","Light (Less than 20 hours per week)","2 years","For-Profit (Family-Owned)","Small (<20 teachers)","None","https://www.internationalteachersalary.com/schools/1103"
"1104","🇲🇽 The American School Foundation of Guadalajara","Guadalajara, Mexico","Middle School Teacher","","","","$3,500","21% - 30% savings","30%","$500","Provided annually for the first 4 years","Free tuition is provided for one child per teacher","Provided","No","Masters","11-15 years","5","American","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1104"
"1105","🇧🇪 International School of Belgium","Antwerp, Belgium","High School Teacher","","","","$36,000","31% - 40% savings","30%","Not provided","Not provided","Partial tuition is provided for teacher's children","Employee Pays Percentage","Yes","Bachelors","6-8 years","","International Baccalaureate","Busy (26-30 hours per week)","More than 5 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1105"
"1106","🇹🇷 Bilkent Laboratory and International School","Ankara, Turkey","Elementary Homeroom Teacher","","","","$3,100","51% - 60% savings","0%","Not provided","Every two years","Free tuition is provided for two children per teacher","Provided","Yes","Masters","16+ years","8","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1106"
"1107","🇪🇪 International School of Estonia","Tallinn, Estonia","Elementary Homeroom Teacher","","","","$2,150","21% - 30% savings","0%","$500","Stipend upon end of contract","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Masters","16+ years","1","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1107"
"1108","🇹🇭 ELC - The City School Bangkok","Bangkok, Thailand","Elementary Homeroom Teacher","","","","$4,580","21% - 30% savings","0%","Not provided","One way ticket to and from Thailand beginning and end of contract and round trip for every year after initial contract","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Bachelors","9-10 years","3","Canadian","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1108"
"1109","🇰🇼 Gulf British Academy","Salmiya, Kuwait","High School Teacher","","","","$4,400","61% - 70% savings","0%","Not provided","650USD","Partial tuition is provided for teacher's children","Not Provided","No","Bachelors","16+ years","3","British","Heavy (More than 30 hours per week)","1 year","For-Profit (Family-Owned)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1109"
"1110","🇬🇪 British International School of Tbilisi","Tbilisi, Georgia","High School Teacher","","","","$2,950","51% - 60% savings","20%","Not provided","Round trip, once per year, dependents not included","Free tuition is provided for two children per teacher","Provided","No","Masters","11-15 years","4","British","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Small (<20 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1110"
"1111","🇲🇾 Tunku Putra-HELP","Kuching, Malaysia","Elementary Homeroom Teacher","","","","$1,773","Less than 20% savings","30%","$341","Up to RM5,000 to cover airfare.","Partial tuition is provided for teacher's children","Provided","Yes","Bachelors","3-5 years","","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1111"
"1112","🇰🇼 American International School Kuwait","Kuwait, Kuwait","Middle School Teacher","","","","$4,500","21% - 30% savings","0%","Not provided","Not provided","Free tuition is provided for one child per teacher","Provided","No","Masters","9-10 years","2","American","Busy (26-30 hours per week)","1 year","For-Profit (Family-Owned)","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1112"
"1113","🇹🇼 Taipei European School","Taipei, Taiwan","Middle School Teacher","","","","$2,500","Less than 20% savings","15%","$1,000","Not provided","Tuition is NOT provided for teacher's children","Not Provided","No","Ph.D / Ed.D","3-5 years","3","British","Light (Less than 20 hours per week)","More than 5 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1113"
"1114","🇧🇷 Chapel School","Sao Paulo, Brazil","Middle School Teacher","","","","$2,500","51% - 60% savings","27%","Not provided","Round-trip every year after completing initial contract","Free tuition is provided for two children per teacher","Provided","Yes","Masters","11-15 years","6","American","Moderate (20-25 hours per week)","2 years","Unknown","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1114"
"1115","🇨🇴 Colegio Panamericano","Bucaramanga, Colombia","Elementary Homeroom Teacher","","","","","","","Not provided","Beginning and end of contract. Yearly if you extend contract.","Partial tuition is provided for teacher's children","Employee Pays Percentage","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1115"
"1116","🇲🇦 Rabat American School","Rabat, Morocco","High School Teacher","","","","$3,000","31% - 40% savings","32%","$900","$1250 reimbursed yearly","Free tuition is provided for one child per teacher","Provided","Yes","Masters","16+ years","3","American","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1116"
"1117","🇹🇼 International Bilingual School of Hsinchu","Hsinchu, Taiwan","Middle School Teacher","","","","$3,000","21% - 30% savings","6%","Not provided","Every year for whole family","Free tuition is provided for three children per teacher","Provided","No","Bachelors","3-5 years","2","American","Light (Less than 20 hours per week)","2 years","Non-Profit (Government/DoD)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1117"
"1118","🇰🇬 United World International School","Bishkek, Kyrgyzstan","High School Coordinator/Lead","","","","$3,300","41% - 50% savings","0%","$500","Annual flights to home country","Free tuition is provided for two children per teacher","Provided","No","Bachelors","6-8 years","2","British","Variable (Depends on term or school year)","3 years","Non-Profit (Public)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1118"
"1119","🇰🇬 United World International School","Bishkek, Kyrgyzstan","Elementary Homeroom Teacher","","","","$1,400","31% - 40% savings","0%","Not provided","Cheapest ticket to home country annually.","Free tuition is provided for three children per teacher","Provided","No","Bachelors","1-2 years","1","British","Moderate (20-25 hours per week)","2 years","Non-Profit (Public)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1119"
"1120","🇰🇬 Oxford International School","Bishkek, Kyrgyzstan","High School Specialist Teacher","","","","$1,200","21% - 30% savings","0%","$300","$1200 at the end of contract","Free tuition is provided for two children per teacher","Provided","No","Masters","3-5 years","","British","Moderate (20-25 hours per week)","1 year","For-Profit (Family-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1120"
"1121","🇹🇭 Prem Tinaulanpnda","Chiang Mai, Thailand","Elementary Specialist Teacher","","","","$3,700","61% - 70% savings","20%","Not provided","Flight for teacher and two dependents yearlu","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","4","International Baccalaureate","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1121"
"1122","🇹🇭 Thai-Chinese International School","Bangkok, Thailand","Middle School Teacher","","","","$3,019","31% - 40% savings","12%","Not provided","Paid for flight at beginning and end of 2 year contract.","Free tuition is provided for one child per teacher","Provided","Yes","Masters","9-10 years","","American","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1122"
"1123","🇨🇳 Concordia International School Shanghai","Shanghai, China","Middle School Teacher","","","","$7,250","61% - 70% savings","0%","Not provided","12000 RMB per person","Free tuition is provided for two children per teacher","Provided","Yes","Masters","16+ years","5","American","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1123"
"1124","🇪🇸 Baleares International College","Mallorca, Spain","High School Teacher","","","","$2,200","Less than 20% savings","18%","Not provided","Not provided","Free tuition is provided for all of teacher's children","Not Provided","No","Bachelors","3-5 years","1","British","Busy (26-30 hours per week)","Less than 1 year","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1124"
"1125","🇬🇭 American International School","Accra, Ghana","Elementary Principal","","","","$2,342","51% - 60% savings","30%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","Yes","Masters","6-8 years","10","International Baccalaureate","Variable (Depends on term or school year)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1125"
"1126","🇪🇸 Laude International College","Marbella, Spain","Middle School Teacher","","","","$2,000","Less than 20% savings","20%","Not provided","Not provided","Free tuition is provided for all of teacher's children","Not Provided","Yes","Masters","1-2 years","2","British","Busy (26-30 hours per week)","More than 5 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1126"
"1127","🇸🇬 XCL Academy","Singapore, Singapore","Middle School Coordinator/Lead","","","","","","","$2,000","Return every contract","Free tuition is provided for two children per teacher","Provided","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1127"
"1128","🇨🇳 Léman International School Chengdu","Chengdu, China","Elementary Homeroom Teacher","","","","$3,900","41% - 50% savings","19%","$1,500","Round-trip including dependents","Free tuition is provided for two children per teacher","Provided","No","Bachelors","6-8 years","1","British","Light (Less than 20 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1128"
"1129","🇦🇪 RAK Academy","Ras Al Khaimah, United Arab Emirates","High School Teacher","","","","$15,000","41% - 50% savings","0%","Not provided","Every year, paid for teacher spouse and 2 dependents","Free tuition is provided for two children per teacher","Provided","No","Bachelors","9-10 years","3","British","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1129"
"1130","🇨🇭 International School of Zug and Luzern","Zug, Switzerland","Elementary Homeroom Teacher","","","","$7,500","21% - 30% savings","22%","Not provided","One-way ticket reimbursement for teacher and dependents, incoming flight only","Free tuition is provided for two children per teacher","Not Provided","Yes","Masters","11-15 years","2","International Baccalaureate","Busy (26-30 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1130"
"1131","🇹🇳 American Cooperative School of Tunis","Tunis, Tunisia","Learning Support Teacher","","","","$4,200","71% - 80% savings","0%","Not provided","Round trip yearly, dependent and spouse included","Free tuition is provided for one child per teacher","Provided","Yes","Masters","11-15 years","1","American","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1131"
"1132","🇲🇲 Myanmar International Academy","Mandalay, Myanmar","Middle School Teacher","","","","$1,800","71% - 80% savings","0%","Not provided","One way once a year","Free tuition is provided for one child per teacher","Not Provided","No","Bachelors","1-2 years","1","British","Busy (26-30 hours per week)","1 year","For-Profit (Family-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1132"
"1133","🇰🇿 Kazakhstan International School","Almaty, Kazakhstan","Middle School Teacher","","","","$3,495","Less than 20% savings","0%","Not provided","Not provided","Free tuition is provided for three children per teacher","Provided","No","Masters","9-10 years","","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1133"
"1134","🇨🇳 Shenzhen College in International Education","Shenzhen, China","High School Specialist Teacher","","","","$5,500","21% - 30% savings","20%","Not provided","10000RMB","Partial tuition is provided for teacher's children","Provided","No","Shenzhen College in International Education","6-8 years","3","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1134"
"1135","🇻🇳 International Schools of North America (SNA)","Ho Chi Minh City, Vietnam","Middle School Teacher","","","","$3,030","31% - 40% savings","23%","$637","Round-trip","Free tuition is provided for three children per teacher","Provided","No","Masters","3-5 years","2","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1135"
"1136","🇨🇿 International School of Brno","Brno, Czech Republic","Middle School Specialist Teacher","","","","$2,500","21% - 30% savings","20%","Not provided","Round trip","Partial tuition is provided for teacher's children","Employee Pays Percentage","No","Masters","11-15 years","1","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1136"
"1137","🇨🇳 HD Wanda Qingdao","Qingdao, China","Elementary Homeroom Teacher","","","","$5,500","61% - 70% savings","20%","Not provided","Yearly round trip and contract start/end","Free tuition is provided for three children per teacher","Provided","Yes","Bachelors","6-8 years","2","British","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1137"
"1138","🇲🇲 Ayeyarwaddy International School","Mandalay, Myanmar","High School Teacher","","","","$3,000","71% - 80% savings","0%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","9-10 years","3","American","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1138"
"1139","🇨🇳 Yew Chung International School Beijing","Beijing, China","High School Teacher","","","","$5,400","31% - 40% savings","25%","$2,000","Going and coming provided, once a year we get $1300.  Not for any family.","Free tuition is provided for two children per teacher","Provided","No","Masters","16+ years","2","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1139"
"1140","🇿🇲 The International School of Lusaka","Lusaka, Zambia","High School Teacher","","","","$2,466","Less than 20% savings","37%","Not provided","Round trip (or cash equivalent) every year","Partial tuition is provided for teacher's children","Provided","Yes","Masters","9-10 years","2","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1140"
"1141","🇻🇳 Vinschool","Hanoi, Vietnam","High School Teacher","","","","$3,560","31% - 40% savings","14%","$400","Airfare allowance at start and end of each 2 year contract, used to be same for a year contract. No more airfare allowance for a year contract","Free tuition is provided for two children per teacher","Provided","Yes","Masters","6-8 years","2","British","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1141"
"1142","🇹🇼 Morrison Academy","Taichung, Taiwan","Middle School Teacher","","","","$2,000","31% - 40% savings","5%","Not provided","Not provided","Free tuition is provided for one child per teacher","Provided","No","Masters","3-5 years","","American","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Small (<20 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1142"
"1143","🇬🇪 Qualtiy Schools International chain (QSI)","Tbilisi, Georgia","Elementary Homeroom Teacher","","","","","","","Not provided","one-way airfare for arrival. after that Stipend each year that more than covers an economy round trip flight home","Free tuition is provided for three children per teacher","Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1143"
"1144","🇰🇭 CIA FIRST INTERNATIONAL SCHOOL","Phnom Penh, Cambodia","Middle School Teacher","","","","$2,000","21% - 30% savings","8%","Not provided","Stipend during school year","Partial tuition is provided for teacher's children","Provided","No","Masters","9-10 years","8","American","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1144"
"1145","🇰🇿 Haileybury Almaty","Almaty, Kazakhstan","High School Specialist Teacher","","","","$3,297","41% - 50% savings","0%","Not provided","Based on the cheapest London to Almaty flight","Free tuition is provided for one child per teacher","Provided","No","Ph.D / Ed.D","11-15 years","4","British","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","More than 4 hours per week","https://www.internationalteachersalary.com/schools/1145"
